X_CCDS_start	X_CCDS_end	gene	X_NM_identifier	X_ENST_ID	X_CCDS_ID	X_strand	X_total_CCDS_length	X_CCDS_exons	X_region	Strata	Y_sequence_classification
152135274	152136204	MAGEA1	NM_004988	ENST00000356661	CCDS14720.1	-	2121	1	XCR	Stratum 1	notAnc_addXY
152363371	152364082	TREX2	NM_080701	"ENST00000393862,ENST00000370231,ENST00000338525,ENST00000330912"	CCDS35437.1	-	711	1	XCR	Stratum 1	pseudogene
152363372	152363372	UCHL5IP	NM_017518	ENST00000370211	CCDS35438.1	-	1107	10	XCR	Stratum 1	lostY
152413604	152413604	BGN	NM_001711	ENST00000331595	CCDS14721.1	+	1107	7	XCR	Stratum 1	lostY
152454899	152498655	ATP2B3	NM_021949	ENST00000359149	CCDS14722.1	+	3522	21	XCR	Stratum 1	lostY
152566601	152568954	DUSP9	NM_001395	"ENST00000370167,ENST00000342782"	CCDS14724.1	+	1155	3	XCR	Stratum 1	lostY
152589105	152591725	PNCK	NM_001039582	"ENST00000370145,ENST00000370142"	CCDS35503.1	-	1281	10	XCR	Stratum 1	pseudogene
152607223	152613863	SLC6A8	NM_005629	ENST00000253122	CCDS14726.1	+	1908	13	XCR	Stratum 1	pseudogene
152619585	152642313	BCAP31	NM_005745	"ENST00000370133,ENST00000345046"	CCDS14727.1	-	741	7	XCR	Stratum 1	lostY
152643915	152662383	ABCD1	NM_000033	ENST00000218104	CCDS14728.1	+	2238	10	XCR	Stratum 1	lostY
152684184	152697688	PLXNB3	NM_005393	ENST00000361971	CCDS14729.1	+	5730	35	XCR	Stratum 1	pseudogene
152698877	152704169	SRPK3	NM_014370	ENST00000370101	CCDS35441.1	+	1704	15	XCR	Stratum 1	pseudogene
152704520	152712975	IDH3G	NM_004135	ENST00000217901	CCDS14730.1	-	1182	13	XCR	Stratum 1	lostY
152713215	152717082	SSR4	NM_006280	"ENST00000370087,ENST00000370086,ENST00000320857"	CCDS14731.1	+	522	6	XCR	Stratum 1	pseudogene
152722001	152726553	PDZD4	NM_032512	ENST00000164640	CCDS14732.1	-	2310	8	XCR	Stratum 1	pseudogene
152781311	152794485	L1CAM	NM_000425	"ENST00000370060,ENST00000370058"	CCDS14733.1	-	3774	28	XCR	Stratum 1	lostY
152823793	152825376	AVPR2	NM_000054	"ENST00000358927,ENST00000337474"	CCDS14735.1	+	1116	3	XCR	Stratum 1	pseudogene
152826376	152844850	ARHGAP4	NM_001666	ENST00000350060	CCDS14736.1	-	2841	22	XCR	Stratum 1	pseudogene
152848633	152853551	ARD1A	NM_003491	ENST00000370015	CCDS14737.1	-	708	8	XCR	Stratum 1	lostY
152853932	152863061	RENBP	NM_002910	"ENST00000393698,ENST00000218151"	CCDS14738.1	-	1284	10	XCR	Stratum 1	lostY
152867991	152889485	HCFC1	NM_005334	ENST00000310441	CCDS44020.1	-	6108	26	XCR	Stratum 1	pseudogene
152900707	152901493	TMEM187	NM_003492	ENST00000369982	CCDS14739.1	+	786	1	XCR	Stratum 1	pseudogene
152930503	152938457	IRAK1	NM_001025242	ENST00000393687	CCDS35444.1	-	2049	14	XCR	Stratum 1	lostY
152949011	153010861	MECP2	NM_004992	"ENST00000369964,ENST00000303391"	CCDS14741.1	-	1461	3	XCR	Stratum 1	pseudogene
153062951	153077595	OPN1LW	NM_020061	ENST00000369951	CCDS14742.1	+	1095	6	XCR	Stratum 1	notAnc_addX
153078025	153098740	TEX28	NM_001586	"ENST00000369926,ENST00000361930"	CCDS14744.1	-	1233	4	XCR	Stratum 1	pseudogene
153101360	153114725	OPN1MW	NM_000513	ENST00000369935	CCDS14743.1	+	1095	6	XCR	Stratum 1	notAnc_addX
153138478	153151843	OPN1MW2	NM_001048181	ENST00000369929	CCDS35447.1	+	1095	6	XCR	Stratum 1	notAnc_addX
153177406	153211232	TKTL1	NM_012253	ENST00000369915	CCDS35448.1	+	1791	13	XCR	Stratum 1	pseudogene
153230410	153235008	FLNA	NM_001456	ENST00000360319	CCDS44021.1	-	7920	46	XCR	Stratum 1	lostY
153261038	153262751	EMD	NM_000117	ENST00000369842	CCDS14745.1	+	765	6	XCR	Stratum 1	pseudogene
153280054	153282389	RPL10	NM_006013	"ENST00000369817,ENST00000344746"	CCDS14746.1	+	645	6	XCR	Stratum 1	pseudogene
153284241	153287103	DNASE1L1	NM_006730	"ENST00000393638,ENST00000369809,ENST00000369808,ENST00000369807,ENST00000309585,ENST00000014935"	CCDS14747.1	-	909	7	XCR	Stratum 1	lostY
153293374	153302537	TAZ	NM_000116	ENST00000299328	CCDS14748.1	+	879	11	XCR	Stratum 1	pseudogene
153310232	153317431	ATP6AP1	NM_001183	ENST00000369762	CCDS35451.1	+	1413	10	XCR	Stratum 1	lostY
153318794	153324213	GDI1	NM_001493	ENST00000369741	CCDS35452.1	+	1344	11	XCR	Stratum 1	lostY
153325776	153331974	FAM50A	NM_004699	ENST00000158526	CCDS14751.1	+	1020	13	XCR	Stratum 1	pseudogene
153341717	153354222	PLXNA3	NM_017514	ENST00000369682	CCDS14752.1	+	5616	32	XCR	Stratum 1	lostY
153359476	153360448	LAGE3	NM_006014	ENST00000357360	CCDS14753.1	-	432	3	XCR	Stratum 1	lostY
153367071	153368117	UBL4A	NM_014235	ENST00000369660	CCDS14754.1	-	474	4	XCR	Stratum 1	lostY
153369039	153370473	SLC10A3	NM_019848	"ENST00000393587,ENST00000393586,ENST00000263512"	CCDS14755.1	-	1434	1	XCR	Stratum 1	pseudogene
153388335	153397290	FAM3A	NM_021806	"ENST00000369643,ENST00000359889,ENST00000322269"	CCDS35453.1	-	693	9	XCR	Stratum 1	lostY
153413408	153428279	G6PD	NM_000402	ENST00000343440	CCDS14756.2	-	1638	13	XCR	Stratum 1	lostY
153433447	153437824	IKBKG	NM_003639	"ENST00000369607,ENST00000369606,ENST00000369601"	CCDS14757.1	+	1260	9	XCR	Stratum 1	lostY
153466664	153468117	CTAG1B	NM_001327	ENST00000328435	CCDS14758.1	-	543	3	XCR	Stratum 1	notAnc_addX
153499210	153500663	CTAG1A	NM_139250	ENST00000333128	CCDS44025.1	+	543	3	XCR	Stratum 1	notAnc_addX
153533596	153534983	CTAG2	NM_172377	ENST00000369585	CCDS35455.1	-	543	3	XCR	Stratum 1	notAnc_addXY
153559648	153632494	GAB3	NM_080612	ENST00000369575	CCDS14760.1	-	1761	10	XCR	Stratum 1	lostY
153644434	153658336	DKC1	NM_001363	ENST00000369550	CCDS14761.1	+	1545	15	XCR	Stratum 1	lostY
153660645	153686842	MPP1	NM_002436	ENST00000369534	CCDS14762.1	-	1401	12	XCR	Stratum 1	lostY
153719065	153904021	F8	NM_000132	ENST00000360256	CCDS35457.1	-	7056	26	XCR	Stratum 1	pseudogene
153766518	153766866	H2AFB1	NM_001017990	ENST00000354461	CCDS35458.1	+	348	1	XCR	Stratum 1	notAnc_addX
153766518	153766866	H2AFB3	NM_080720	ENST00000369444	CCDS35464.1	-	348	1	XCR	Stratum 1	notAnc_addX
153767843	153768959	F8A1	NM_012151	ENST00000369446	CCDS35459.1	+	1116	1	XCR	Stratum 1	notAnc_addXY
153908407	153936141	FUNDC2	NM_023934	ENST00000369498	CCDS14763.1	+	570	5	XCR	Stratum 1	notAnc_addX
153946958	153947479	MTCP1	NM_001018025	"ENST00000393510,ENST00000369484,ENST00000369480,ENST00000369479"	CCDS14764.1	-	396	5	XCR	Stratum 1	lostY
154097953	154120317	VBP1	NM_003372	ENST00000286428	CCDS14765.1	+	594	6	XCR	Stratum 1	notAnc_addXY
154143281	154146767	RAB39B	NM_171998	ENST00000369454	CCDS14766.1	-	642	2	XCR	Stratum 1	notAnc_addX
154160385	154216930	CLIC2	NM_001289	ENST00000369449	CCDS14767.1	-	744	6	XCR	Stratum 1	notAnc_addX
154263629	154263977	H2AFB2	NM_001017991	ENST00000354514	CCDS35461.1	+	348	1	XCR	Stratum 1	notAnc_addXY
154374389	154428131	TMLHE	NM_018196	ENST00000334398	CCDS14768.1	-	1266	7	XCR	Stratum 1	notAnc_addX
154656727	154657594	SPRY3	NM_005840	"ENST00000369437,ENST00000302805"	CCDS14769.3	+	867	1	PAR2	PAR2	PAR
154772323	154824809	VAMP7	NM_005638	ENST00000286448	CCDS14770.3	+	663	7	PAR2	PAR2	PAR
154880618	154893268	IL9R	NM_002186	ENST00000244174	CCDS14771.3	+	1566	9	PAR2	PAR2	PAR
